Postinumeroalue_x,0-2-vuotiaat (HE),13-15-vuotiaat (HE),16-17-vuotiaat (HE),18-19-vuotiaat (HE),20-24-vuotiaat (HE),25-29-vuotiaat (HE),3-6-vuotiaat (HE),30-34-vuotiaat (HE),35-39-vuotiaat (HE),40-44-vuotiaat (HE),45-49-vuotiaat (HE),50-54-vuotiaat (HE),55-59-vuotiaat (HE),60-64-vuotiaat (HE),65-69-vuotiaat (HE),7-12-vuotiaat (HE),70-74-vuotiaat (HE),75-79-vuotiaat (HE),80-84-vuotiaat (HE),85 vuotta täyttäneet (HE),Asukkaat yhteensä (HE),Asukkaiden keski-ikä (HE),Miehet (HE),Naiset (HE),Postinumero,Alueen_nimi,Postinumeroalue_y,18 vuotta täyttäneet yhteensä (HR),Alimpaan tuloluokkaan kuuluvat asukkaat (HR),Asukkaiden keskitulot (HR),Asukkaiden mediaanitulot (HR),Asukkaiden ostovoimakertymä (HR),Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR),Ylimpään tuloluokkaan kuuluvat asukkaat (HR),Asuinrakennukset yhteensä (RA),Asunnot (RA),Asuntojen keskipinta-ala (RA),Kerrostaloasunnot (RA),Kesämökit yhteensä (RA),Muut asunnot (RA),Muut rakennukset yhteensä (RA),Pientaloasunnot (RA),Rakennukset yhteensä (RA),Asukkaat yhteensä (PT),Eläkeläiset (PT),Lapset 0-14-vuotiaat (PT),Muut (PT),Opiskelijat (PT),Työlliset (PT),Työttömät (PT),Aikuisten taloudet (TE),Alle kouluikäisten lasten taloudet (TE),Asumisväljyys (TE),Eläkeläisten taloudet (TE),Kouluikäisten lasten taloudet (TE),Lapsettomat nuorten parien taloudet (TE),Lapsitaloudet (TE),Muissa asunnoissa asuvat taloudet (TE),Nuorten yksinasuvien taloudet (TE),Omistusasunnoissa asuvat taloudet (TE),Pienten lasten taloudet (TE),Taloudet yhteensä (TE),Talouksien keskikoko (TE),Teini-ikäisten lasten taloudet (TE),Vuokra-asunnoissa asuvat taloudet (TE),Yhden vanhemman lapsitaloudet (TE),Yksinasuvien taloudet (TE),18 vuotta täyttäneet yhteensä (KO),Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO),Ammatillisen tutkinnon suorittaneet (KO),Koulutetut yhteensä (KO),Perusasteen suorittaneet (KO),Ylemmän korkeakoulututkinnon suorittaneet (KO),Ylioppilastutkinnon suorittaneet (KO)
00100  Helsinki keskusta - Etu-Töölö (Helsinki),376.0,352.0,294.0,301.0,1683.0,2402.0,419.0,1771.0,1319.0,1142.0,1210.0,1035.0,1122.0,994.0,802.0,654.0,739.0,888.0,590.0,399.0,18492.0,42.0,8758.0,9734.0,00100,Helsinki keskusta - Etu-Töölö (Helsinki),00100  Helsinki keskusta - Etu-Töölö (Helsinki),16397.0,2866.0,47784.0,34408.0,783516818.0,6569.0,6962.0,314.0,12469.0,65.7,11869.0,0.0,597.0,294.0,3.0,608.0,18492.0,3438.0,1705.0,801.0,1607.0,10107.0,834.0,6696.0,616.0,39.4,2513.0,514.0,878.0,1365.0,76.0,2381.0,5116.0,351.0,10544.0,1.7,496.0,5352.0,254.0,5546.0,16397.0,3987.0,1666.0,14616.0,1781.0,6422.0,2541.0
00120  Punavuori - Bulevardi (Helsinki),138.0,200.0,110.0,140.0,584.0,837.0,202.0,708.0,548.0,485.0,534.0,452.0,401.0,359.0,321.0,330.0,304.0,299.0,223.0,122.0,7297.0,42.0,3396.0,3901.0,00120,Punavuori - Bulevardi (Helsinki),00120  Punavuori - Bulevardi (Helsinki),6317.0,1085.0,58240.0,35106.0,367902197.0,2445.0,2787.0,155.0,4909.0,70.0,4700.0,0.0,202.0,83.0,7.0,238.0,7297.0,1255.0,797.0,356.0,578.0,3979.0,332.0,2536.0,262.0,39.9,953.0,250.0,349.0,615.0,43.0,815.0,2156.0,133.0,4086.0,1.8,234.0,1887.0,148.0,2058.0,6317.0,1490.0,735.0,5632.0,685.0,2381.0,1026.0
00130  Kaartinkaupunki (Helsinki),42.0,45.0,36.0,31.0,138.0,163.0,49.0,146.0,103.0,115.0,128.0,115.0,151.0,101.0,79.0,63.0,77.0,79.0,42.0,28.0,1731.0,43.0,837.0,894.0,00130,Kaartinkaupunki (Helsinki),00130  Kaartinkaupunki (Helsinki),1496.0,249.0,74644.0,38690.0,111666707.0,499.0,748.0,38.0,1228.0,81.0,1053.0,0.0,175.0,103.0,0.0,141.0,1731.0,294.0,182.0,100.0,127.0,952.0,76.0,564.0,74.0,45.1,233.0,50.0,69.0,152.0,7.0,167.0,494.0,41.0,942.0,1.8,59.0,441.0,29.0,443.0,1496.0,317.0,138.0,1333.0,163.0,614.0,264.0
00140  Kaivopuisto - Ullanlinna (Helsinki),143.0,178.0,120.0,127.0,582.0,797.0,208.0,592.0,498.0,498.0,530.0,478.0,498.0,471.0,412.0,360.0,368.0,416.0,280.0,165.0,7721.0,44.0,3542.0,4179.0,00140,Kaivopuisto - Ullanlinna (Helsinki),00140  Kaivopuisto - Ullanlinna (Helsinki),6712.0,1152.0,74492.0,36332.0,499991595.0,2467.0,3093.0,173.0,5382.0,74.4,5349.0,0.0,25.0,59.0,8.0,232.0,7721.0,1590.0,836.0,427.0,530.0,4020.0,318.0,2582.0,264.0,42.7,1224.0,284.0,321.0,631.0,50.0,854.0,2410.0,133.0,4417.0,1.7,240.0,1957.0,143.0,2306.0,6712.0,1647.0,664.0,6008.0,704.0,2628.0,1069.0
00150  Punavuori - Eira - Hernesaari (Helsinki),203.0,198.0,121.0,154.0,909.0,1242.0,245.0,993.0,666.0,659.0,701.0,537.0,558.0,519.0,416.0,403.0,380.0,394.0,251.0,171.0,9720.0,41.0,4462.0,5258.0,00150,Punavuori - Eira - Hernesaari (Helsinki),00150  Punavuori - Eira - Hernesaari (Helsinki),8550.0,1500.0,49596.0,32750.0,424046954.0,3659.0,3391.0,273.0,6954.0,56.7,6876.0,2.0,48.0,86.0,30.0,359.0,9720.0,1576.0,984.0,485.0,757.0,5416.0,502.0,3995.0,341.0,35.1,1251.0,317.0,464.0,747.0,60.0,1631.0,3015.0,187.0,5974.0,1.6,258.0,2899.0,197.0,3552.0,8550.0,2034.0,1030.0,7589.0,961.0,3067.0,1458.0
00160  Katajanokka (Helsinki),99.0,127.0,78.0,92.0,269.0,416.0,154.0,377.0,336.0,352.0,364.0,333.0,322.0,292.0,256.0,290.0,296.0,345.0,228.0,119.0,5145.0,45.0,2371.0,2774.0,00160,Katajanokka (Helsinki),00160  Katajanokka (Helsinki),4397.0,707.0,51759.0,34808.0,227582798.0,1811.0,1879.0,84.0,3084.0,75.1,3068.0,0.0,13.0,52.0,3.0,136.0,5145.0,1224.0,634.0,245.0,329.0,2503.0,210.0,1312.0,199.0,40.1,893.0,213.0,196.0,474.0,20.0,266.0,1384.0,93.0,2663.0,1.9,171.0,1259.0,118.0,1131.0,4397.0,1105.0,524.0,3788.0,609.0,1587.0,572.0
00170  Kruununhaka (Helsinki),162.0,190.0,144.0,141.0,579.0,729.0,183.0,650.0,495.0,516.0,563.0,489.0,484.0,391.0,355.0,336.0,306.0,329.0,192.0,151.0,7385.0,42.0,3392.0,3993.0,00170,Kruununhaka (Helsinki),00170  Kruununhaka (Helsinki),6370.0,1057.0,50698.0,35405.0,322948517.0,2489.0,2824.0,138.0,4860.0,68.9,4591.0,0.0,259.0,133.0,10.0,271.0,7385.0,1304.0,814.0,304.0,627.0,4036.0,300.0,2442.0,266.0,39.0,1000.0,256.0,295.0,657.0,34.0,758.0,2223.0,151.0,4080.0,1.8,256.0,1823.0,151.0,1996.0,6370.0,1429.0,675.0,5683.0,687.0,2625.0,954.0
00180  Kamppi - Ruoholahti (Helsinki),332.0,344.0,216.0,253.0,1183.0,1732.0,482.0,1522.0,1214.0,1123.0,1014.0,763.0,832.0,777.0,600.0,745.0,542.0,568.0,315.0,227.0,14784.0,40.0,7180.0,7604.0,00180,Kamppi - Ruoholahti (Helsinki),00180  Kamppi - Ruoholahti (Helsinki),12665.0,2586.0,38476.0,30624.0,487298454.0,5817.0,4262.0,200.0,9497.0,58.8,9351.0,0.0,80.0,146.0,66.0,346.0,14784.0,2356.0,1797.0,851.0,1268.0,7687.0,825.0,5214.0,619.0,33.5,1762.0,581.0,656.0,1302.0,72.0,1675.0,3182.0,309.0,8248.0,1.8,430.0,4994.0,329.0,4204.0,12665.0,3087.0,1927.0,10401.0,2264.0,3633.0,1754.0
00190  Suomenlinna (Helsinki),17.0,41.0,23.0,16.0,15.0,15.0,33.0,31.0,48.0,74.0,71.0,46.0,62.0,35.0,26.0,65.0,20.0,24.0,7.0,8.0,677.0,40.0,319.0,358.0,00190,Suomenlinna (Helsinki),00190  Suomenlinna (Helsinki),498.0,75.0,33645.0,32257.0,16755347.0,251.0,172.0,64.0,372.0,69.5,294.0,0.0,22.0,51.0,56.0,115.0,677.0,89.0,144.0,19.0,69.0,318.0,38.0,131.0,34.0,31.9,63.0,47.0,4.0,98.0,17.0,16.0,35.0,17.0,287.0,2.3,47.0,235.0,23.0,99.0,498.0,109.0,89.0,434.0,64.0,175.0,61.0
00200  Pohjois-Lauttasaari (Helsinki),456.0,465.0,284.0,255.0,829.0,1633.0,632.0,1724.0,1445.0,1270.0,1172.0,854.0,737.0,705.0,644.0,950.0,585.0,739.0,410.0,380.0,16169.0,41.0,7530.0,8639.0,00200,Pohjois-Lauttasaari (Helsinki),00200  Pohjois-Lauttasaari (Helsinki),13382.0,1816.0,44311.0,35619.0,592974769.0,5762.0,5804.0,536.0,9771.0,60.4,9050.0,5.0,226.0,59.0,495.0,595.0,16169.0,2775.0,2343.0,444.0,1195.0,8796.0,616.0,5115.0,826.0,33.8,2101.0,730.0,757.0,1736.0,55.0,1705.0,5145.0,422.0,8924.0,1.8,575.0,3724.0,343.0,4594.0,13382.0,3492.0,1419.0,12063.0,1319.0,5499.0,1653.0
